timestamp,open,high,low,close,volume,FGI,catigorization 
13/12/2022,17208.93,18000,17080.14,17774.7,284462.9139,27,Fear
14/12/2022,17775.82,18387.95,17660.94,17803.15,266681.2221,30,Fear
15/12/2022,17804.01,17854.82,17275.51,17356.34,223701.9688,31,Fear
16/12/2022,17356.96,17531.73,16527.32,16632.12,253379.0412,29,Fear
17/12/2022,16631.5,16796.82,16579.85,16776.52,144825.6668,28,Fear
18/12/2022,16777.54,16863.26,16663.07,16738.21,112619.3165,26,Fear
19/12/2022,16739,16815.99,16256.3,16438.88,179094.2831,29,Fear
20/12/2022,16438.88,17061.27,16397.2,16895.56,248808.9232,29,Fear
21/12/2022,16896.15,16925,16723,16824.67,156810.9636,26,Fear
22/12/2022,16824.68,16868.52,16559.85,16821.43,176044.2724,28,Fear
23/12/2022,16821.9,16955.14,16731.13,16778.5,161612.0095,27,Fear
24/12/2022,16778.52,16869.99,16776.62,16836.12,100224.291,29,Fear
25/12/2022,16835.73,16857.96,16721,16832.11,125441.072,29,Fear
26/12/2022,16832.11,16944.52,16791,16919.39,124564.0066,28,Fear
27/12/2022,16919.39,16972.83,16592.37,16706.36,173749.5862,27,Fear
28/12/2022,16706.06,16785.19,16465.33,16547.31,193037.5658,28,Fear
29/12/2022,16547.32,16664.41,16488.91,16633.47,160998.4716,28,Fear
30/12/2022,16633.47,16677.35,16333,16607.48,164916.3117,28,Fear
31/12/2022,16607.48,16644.09,16470,16542.4,114490.4286,25,Extreme Fear
01/01/2023,16541.77,16628,16499.01,16616.75,96925.41374,26,Fear
02/01/2023,16617.17,16799.23,16548.7,16672.87,121888.5719,27,Fear
03/01/2023,16672.78,16778.4,16605.28,16675.18,159541.5373,26,Fear
04/01/2023,16675.65,16991.87,16652.66,16850.36,220362.1886,29,Fear
05/01/2023,16850.36,16879.82,16753,16831.85,163473.5664,29,Fear
06/01/2023,16831.85,17041,16679,16950.65,207401.2842,26,Fear
07/01/2023,16950.31,16981.91,16908,16943.57,104526.5688,25,Extreme Fear
08/01/2023,16943.83,17176.99,16911,17127.83,135155.897,25,Extreme Fear
